Comment Text,Comment Language,Comment Like Count,Author Nickname
This recipe is absolutely incredible! I made it for my whole family and they loved every bite,en,24,cookingwithjas
The steps are confusing and I burned mine. Need better instructions next time,en,1,frustrated_cook
What oven temperature should I use? You didn't mention it in the video,en,5,home_baker22
Made this twice already and it comes out perfect every time! You're so talented,en,18,foodielife101
This looks amazing but I don't have cream cheese. Can I substitute it?,en,9,kitchen_adventures
Honestly one of the best recipes I've tried on here. Keep them coming!,en,33,tiktokcooks
The seasoning amount seems way too much. Mine was way too salty,en,7,salty_chef99
I love how simple the ingredients are! Perfect for a beginner like me,en,15,beginnerchef
How long does this keep in the fridge? Amazing recipe btw!,en,11,meal_prepper
This is giving me all the inspiration to cook more. Thank you so much!,en,20,cookingmotivation
Tried this and it was a disaster. The sauce was too runny,en,3,homecook_fail
Can you do more budget-friendly recipes? This one looks expensive,en,8,budget_eats
Your food content is always on point! Never disappoints,en,29,foodcritique01
I made this for meal prep and it has been my lunch all week!,en,16,mealprep_queen
The video is too fast. I had to replay multiple times to follow along,en,5,slow_learner_cooks
Love the vibes in your cooking videos so relaxing to watch,en,22,cozy_kitchen
Do you have a vegetarian version of this?,en,6,veggie_life
This is my new favorite recipe! Already sent it to all my friends,en,19,recipe_sharer
I tried the recipe but it didn't turn out the same as yours,en,2,failed_attempt
What brand of pasta do you use? Just curious,en,4,pasta_curious
The way your hair turns out is literally goals! Tutorial was so helpful,en,35,hairgoals22
My braids never come out this neat. What is your secret technique?,en,12,braid_struggle
This hairstyle is stunning! I have been looking for something like this for months,en,27,hairstyle_lover
The tutorial was too fast and I got lost halfway through,en,4,confused_viewer
Your hair always looks so healthy and shiny! What products do you use?,en,31,healthy_hair_fan
I have thin hair would this style work for me?,en,8,thinhairdontcare
Absolutely gorgeous! You make every style look so effortless,en,44,beauty_admirer
The end result looks nothing like the tutorial. Very misleading,en,6,disappointed_viewer
Been following your hair tutorials for a year and they never let me down!,en,38,loyal_hairfan
Do you do this on natural hair or is it heat styled first?,en,10,natural_hair_q
This is giving me motivation to finally try new styles! Love your energy,en,25,style_inspired
Mine came out so messy. Maybe it is just not for my hair type,en,3,hair_fail
Would love a tutorial for shorter hair lengths!,en,7,short_hair_request
Your content is always so aesthetic and well edited too,en,20,aesthetic_lover
The color of your hair is beautiful! Is it natural or dyed?,en,14,hair_color_curious
Your lifestyle content is so inspiring! You motivate me every single day,en,30,inspired_daily
This routine seems unrealistic for people who work full time,en,5,busy_worker
What time do you wake up? Your morning routine is so peaceful,en,9,morning_curious
You are genuinely one of my favorite creators! Always so positive,en,42,top_fan_01
I tried your productivity tips and my life actually changed. Thank you!,en,55,productivity_win
This video felt rushed compared to your usual content,en,3,longtime_watcher
Where is that location in the background? Looks beautiful,en,13,travel_curious
Your energy in every video is unmatched! Never stop creating,en,37,energy_fan
Would love to see more day in the life content from you!,en,11,dayinlife_request
The advice in this video is too generic not very useful,en,2,critical_viewer
I have learned so much from watching your content. You are incredible!,en,28,learner_01
Can you collab with other creators? Would love to see that!,en,7,collab_request
Every single video you post makes my day better,en,33,mood_booster
This is exactly the content I needed to see today! Perfect timing,en,21,timely_viewer
Please post more often! We can not get enough of your content,en,46,more_content_please
